"Suburb","Rooms","Type","Method","SellerG","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","PredictedPrice"
"Abbotsford",1,"u","S","Biggin",2.5,"3067",1,1,1,0,123,1965,"Yarra",340703.347967922
"Abbotsford",2,"u","S","Dingle",2.5,"3067",3,1,1,367.5,123,1965,"",525663.01322874
"Abbotsford",1,"u","SP","Purplebricks",2.5,"3067",3,1,1,367.5,123,1965,"",240580.849703846
"Abbotsford",4,"h","S","Biggin",2.5,"3067",3,1,1,367.5,123,1965,"",1483474.61821702
"Abbotsford",3,"h","S","LITTLE",2.5,"3067",2,1,1,138,105,1890,"Yarra",1193433.57040319
"Abbotsford",3,"t","S","Beller",2.5,"3067",3,2,2,0,123,2010,"Yarra",972745.042171504
"Abbotsford",3,"u","S","Jellis",2.5,"3067",3,2,2,4290,27,1965,"Yarra",1049391.94194331
"Abbotsford",1,"u","S","hockingstuart",2.5,"3067",3,1,1,367.5,123,1965,"",304425.989685884
"Abbotsford",1,"u","SP","Greg",2.5,"3067",1,1,1,0,123,1965,"Yarra",379323.377468204
"Abbotsford",2,"h","S","Nelson",2.5,"3067",2,2,2,98,128,1920,"Yarra",1305337.47600745
"Abbotsford",3,"t","SP","Jellis",2.5,"3067",3,1,1,367.5,123,1965,"",1052941.29674184
"Abbotsford",1,"u","S","Nelson",2.5,"3067",1,1,1,0,50,2013,"Yarra",257654.916944951
"Abbotsford",3,"h","SP","Jellis",2.5,"3067",3,2,1,120,128,1998,"Yarra",1341957.63997605
"Abbotsford",2,"u","SP","Biggin",2.5,"3067",3,1,1,367.5,123,1965,"",516133.077074318
"Airport West",3,"t","S","Brad",13.5,"3042",3,2,2,239,134,2009,"Moonee Valley",685233.44448097
"Airport West",3,"h","S","Maddison",13.5,"3042",2,1,1,290,116,1980,"Moonee Valley",644523.324068773
"Airport West",2,"u","VB","Barry",13.5,"3042",2,1,1,168,86,2011,"Moonee Valley",-52749.8871916876
"Airport West",3,"t","VB","Nelson",13.5,"3042",3,1,1,367.5,123,1965,"",557636.755752202
"Airport West",3,"h","PI","Rendina",13.5,"3042",3,1,6,1063,133,1975,"Moonee Valley",971922.11754773
"Airport West",3,"h","S","Nelson",13.5,"3042",3,1,1,0,105,1950,"Moonee Valley",761745.3170251
"Airport West",4,"h","S","Jellis",13.5,"3042",3,1,1,367.5,123,1965,"",1237534.51671649
"Airport West",3,"t","PI","Brad",13.5,"3042",3,2,2,165,133,2009,"Moonee Valley",568502.401325632
"Airport West",3,"h","S","Barry",13.5,"3042",3,1,2,971,113,1960,"Moonee Valley",851600.211107306
"Airport West",2,"u","S","Barry",13.5,"3042",2,1,1,164,123,2003,"Moonee Valley",72288.0922404855
"Airport West",3,"h","S","Rendina",13.5,"3042",3,2,2,422,126,1995,"Moonee Valley",924612.031583028
"Airport West",3,"t","SP","Barry",13.5,"3042",3,2,1,293,102,1960,"Moonee Valley",611591.154786111
